symbol,strategy,entry_time,exit_time,entry,stop_loss,target,exit_price,outcome,r_multiple,pnl_pct,candles_held
SNDK,VWAP_BROAD_TEST,2026-08-18 09:35:00-04:00,2026-08-18 09:45:00-04:00,1712.77,1676.03,1767.88,1676.03,STOP,-1.0,-2.15,2
SNDK,VWAP_BROAD_TEST,2026-08-19 18:40:00-04:00,2026-08-19 19:20:00-04:00,1605.0,1595.8,1618.8,1595.8,STOP,-1.0,-0.57,8
SNDK,VWAP_RETEST,2026-08-19 19:35:00-04:00,2026-08-19 19:55:00-04:00,1600.61,1595.01,1609.01,1604.08,EOD_SQUAREOFF,0.62,0.22,4
SNDK,VWAP_BROAD_TEST,2026-08-20 09:40:00-04:00,2026-08-20 09:45:00-04:00,1615.71,1566.01,1690.25,1566.01,STOP,-1.0,-3.08,1
SNDK,VWAP_RETEST,2026-08-20 10:25:00-04:00,2026-08-20 11:20:00-04:00,1613.01,1590.25,1647.15,1590.25,STOP,-1.0,-1.41,11
SNDK,VWAP_BROAD_TEST,2026-08-21 09:50:00-04:00,2026-08-21 09:50:00-04:00,1604.68,1590.31,1626.22,1590.31,STOP,-1.0,-0.9,0
SNDK,VWAP_RETEST,2026-08-21 11:55:00-04:00,2026-08-21 12:00:00-04:00,1598.41,1592.04,1607.95,1592.04,STOP,-1.0,-0.4,1
SNDK,VWAP_BROAD_TEST,2026-08-24 10:35:00-04:00,2026-08-24 10:50:00-04:00,1447.02,1436.1,1463.4,1463.4,TARGET,1.5,1.13,3
SNDK,EMA_CROSS,2026-08-24 16:00:00-04:00,2026-08-24 17:05:00-04:00,1493.12,1474.0,1521.8,1474.0,STOP,-1.0,-1.28,13
SNDK,VWAP_RETEST,2026-08-24 17:35:00-04:00,2026-08-24 19:55:00-04:00,1487.0,1443.36,1552.46,1473.51,EOD_SQUAREOFF,-0.31,-0.91,28
SNDK,VWAP_BROAD_TEST,2026-08-25 09:35:00-04:00,2026-08-25 09:35:00-04:00,1555.0,1523.01,1602.98,1523.01,STOP,-1.0,-2.06,0
SNDK,VWAP_BROAD_TEST,2026-08-26 09:35:00-04:00,2026-08-26 09:40:00-04:00,1465.21,1450.05,1487.96,1487.96,TARGET,1.5,1.55,1
SNDK,EMA_CROSS,2026-08-26 15:50:00-04:00,2026-08-26 15:50:00-04:00,1504.0,1497.43,1513.86,1497.43,STOP,-1.0,-0.44,0
SNDK,VWAP_RETEST,2026-08-26 16:25:00-04:00,2026-08-26 17:05:00-04:00,1509.83,1480.01,1554.55,1554.55,TARGET,1.5,2.96,8
SNDK,VWAP_BROAD_TEST,2026-08-28 09:35:00-04:00,2026-08-28 09:35:00-04:00,1446.77,1435.61,1463.51,1463.51,TARGET,1.5,1.16,0
SNDK,VWAP_RETEST,2026-08-28 11:00:00-04:00,2026-08-28 11:15:00-04:00,1495.29,1485.01,1510.7,1510.7,TARGET,1.5,1.03,3
SNDK,EMA_CROSS,2026-08-28 15:45:00-04:00,2026-08-28 19:55:00-04:00,1485.3,1473.45,1503.08,1483.42,EOD_SQUAREOFF,-0.16,-0.13,50
SNDK,VWAP_BROAD_TEST,2026-08-31 09:35:00-04:00,2026-08-31 14:50:00-04:00,1516.39,1485.03,1563.42,1485.03,STOP,-1.0,-2.07,63
SNDK,VWAP_RETEST,2026-08-31 10:20:00-04:00,2026-08-31 11:20:00-04:00,1518.51,1503.33,1541.28,1541.28,TARGET,1.5,1.5,12
SNDK,VWAP_BROAD_TEST,2026-09-01 09:35:00-04:00,2026-09-01 11:40:00-04:00,1543.23,1513.03,1588.53,1588.53,TARGET,1.5,2.94,25
SNDK,VWAP_RETEST,2026-09-01 10:05:00-04:00,2026-09-01 10:05:00-04:00,1542.86,1537.43,1551.0,1537.43,STOP,-1.0,-0.35,0
